,kmer_A,kmer_C,kmer_D,kmer_E,kmer_F,kmer_G,kmer_H,kmer_I,kmer_K,kmer_L,kmer_M,kmer_N,kmer_P,kmer_Q,kmer_R,kmer_S,kmer_T,kmer_V,kmer_W,kmer_Y
YPL060C-A,0.025,0.025,0.05,0.06,0.015,0.055,0.045,0.1,0.115,0.055,0.035,0.085,0.035,0.015,0.035,0.09,0.07,0.035,0.01,0.045
YFL026W,0.075,0.005,0.035,0.005,0.075,0.04,0.01,0.1,0.04,0.125,0.03,0.045,0.02,0.035,0.025,0.115,0.1,0.09,0.005,0.025
YPL228W,0.07,0.005,0.06,0.08,0.035,0.03,0.005,0.1,0.115,0.07,0.005,0.06,0.055,0.045,0.025,0.09,0.045,0.07,0.015,0.02
YDR110W,0.04,0.035,0.045,0.055,0.055,0.055,0.02,0.065,0.11,0.11,0.015,0.03,0.05,0.02,0.07,0.07,0.035,0.05,0.015,0.055
YPL081W,0.1065989847715736,0.0,0.06091370558375635,0.08121827411167512,0.03553299492385787,0.050761421319796954,0.02030456852791878,0.04568527918781726,0.09137055837563451,0.10152284263959391,0.01015228426395939,0.02030456852791878,0.04568527918781726,0.025380710659898477,0.116751269035533,0.06091370558375635,0.03553299492385787,0.06091370558375635,0.0,0.030456852791878174
YDR204W,0.07462686567164178,0.007462686567164179,0.03731343283582089,0.06716417910447761,0.029850746268656716,0.04477611940298507,0.029850746268656716,0.07462686567164178,0.07462686567164178,0.11940298507462686,0.029850746268656716,0.048507462686567165,0.06716417910447761,0.026119402985074626,0.07835820895522388,0.029850746268656716,0.055970149253731345,0.041044776119402986,0.014925373134328358,0.048507462686567165
YAR009C,0.04,0.0,0.05,0.095,0.01,0.025,0.03,0.1,0.09,0.045,0.005,0.08,0.095,0.02,0.045,0.105,0.1,0.035,0.005,0.025
YHR214C-B,0.065,0.01,0.07,0.04,0.035,0.045,0.045,0.065,0.04,0.115,0.0,0.07,0.05,0.05,0.055,0.105,0.06,0.035,0.005,0.04
YHR167W,0.047619047619047616,0.004329004329004329,0.09956709956709957,0.08225108225108226,0.012987012987012988,0.030303030303030304,0.017316017316017316,0.06060606060606061,0.09090909090909091,0.12554112554112554,0.025974025974025976,0.03463203463203463,0.03463203463203463,0.03896103896103896,0.05627705627705628,0.08658008658008658,0.04329004329004329,0.05194805194805195,0.012987012987012988,0.04329004329004329
YLR390W-A,0.1506849315068493,0.0365296803652968,0.0228310502283105,0.045662100456621,0.0136986301369863,0.0228310502283105,0.0091324200913242,0.0182648401826484,0.0547945205479452,0.0410958904109589,0.0045662100456621,0.0273972602739726,0.0273972602739726,0.0228310502283105,0.0,0.365296803652968,0.0684931506849315,0.0547945205479452,0.0,0.0136986301369863
