gene_id,length,log_length,n_term_hydrophobic,n_term_positive,n_term_aliphatic
YPL060C-A,1104,3.0429690733931802,0.32,0.2,0.26
YFL026W,431,2.6344772701607315,0.34,0.0,0.22
YPL228W,549,2.739572344450092,0.34,0.14,0.24
YDR110W,566,2.7528164311882715,0.3,0.2,0.18
YPL081W,197,2.294466226161593,0.34,0.22,0.2
YDR204W,335,2.525044807036845,0.52,0.16,0.4
YAR009C,1196,3.077731179652392,0.48,0.14,0.26
YHR214C-B,1793,3.253580289562183,0.3,0.14,0.24
YHR167W,261,2.416640507338281,0.32,0.08,0.26
YLR390W-A,238,2.376576957056512,0.48,0.06,0.42
YLR421C,156,2.1931245983544616,0.4,0.08,0.2
YPL249C-A,100,2.0,0.44,0.22,0.34
YOR298C-A,151,2.1789769472931693,0.34,0.16,0.28
YKL053C-A,86,1.9344984512435677,0.3,0.12,0.14
YEL020W-A,87,1.9395192526186185,0.32,0.14,0.18
YDL045W-A,95,1.9777236052888478,0.48,0.2,0.26
YJR048W,109,2.037426497940624,0.32,0.24,0.2
YFR033C,147,2.167317334748176,0.36,0.08,0.28
YDR529C,127,2.103803720955957,0.52,0.12,0.38
Q0105,385,2.5854607295085006,0.52,0.04,0.34
YML054C,591,2.7715874808812555,0.34,0.26,0.26
YOL086C,348,2.5415792439465807,0.4,0.18,0.28
YMR303C,348,2.5415792439465807,0.42,0.18,0.28
YJR009C,332,2.5211380837040362,0.48,0.14,0.34
YGR192C,332,2.5211380837040362,0.52,0.12,0.36
YJL052W,332,2.5211380837040362,0.5,0.14,0.4
Q0045,534,2.7275412570285567,0.56,0.08,0.4
Q0250,251,2.399673721481038,0.52,0.04,0.34
Q0275,269,2.429752280002408,0.54,0.14,0.28
YNL052W,153,2.184691430817599,0.42,0.12,0.28
YKR066C,361,2.5575072019056577,0.46,0.14,0.36
YJR104C,154,2.187520720836463,0.42,0.1,0.32
YCR012W,416,2.6190933306267428,0.46,0.18,0.36
YBR093C,467,2.6693168805661123,0.52,0.08,0.36
YIL162W,532,2.7259116322950483,0.52,0.08,0.28
YMR297W,532,2.7259116322950483,0.5,0.12,0.42
YBR011C,287,2.4578818967339924,0.4,0.14,0.28
YJR121W,511,2.708420900134713,0.52,0.14,0.38
Q0085,259,2.413299764081252,0.52,0.02,0.38
YNR001C,479,2.680335513414563,0.36,0.16,0.26
YGR254W,437,2.640481436970422,0.4,0.14,0.3
YHR174W,437,2.640481436970422,0.4,0.14,0.3
YER086W,576,2.7604224834232123,0.42,0.24,0.36
YKL152C,247,2.392696953259666,0.42,0.2,0.3
YGR264C,751,2.8756399370041685,0.48,0.18,0.36
YDL181W,85,1.9294189257142929,0.36,0.16,0.22
YOR101W,309,2.4899584794248346,0.32,0.12,0.24
YNL098C,322,2.507855871695831,0.34,0.14,0.26
YFL038C,206,2.3138672203691533,0.36,0.1,0.28
YDR224C,131,2.1172712956557644,0.3,0.32,0.22
YBL002W,131,2.1172712956557644,0.32,0.3,0.24
YNL030W,103,2.012837224705172,0.3,0.34,0.26
YDR382W,110,2.041392685158225,0.5,0.08,0.46
YGL103W,149,2.173186268412274,0.24,0.42,0.1
YFL037W,457,2.6599162000698504,0.3,0.14,0.22
YPL240C,709,2.8506462351830666,0.44,0.1,0.34
YOR187W,437,2.640481436970422,0.44,0.18,0.32
YBR118W,458,2.660865478003869,0.3,0.22,0.26
YEL009C,281,2.44870631990508,0.44,0.08,0.22
R0020C,373,2.571708831808688,0.38,0.16,0.22
Q0110,423,2.6263403673750423,0.52,0.04,0.34
Q0060,415,2.618048096712093,0.56,0.08,0.4
Q0065,556,2.7450747915820575,0.56,0.08,0.4
Q0120,638,2.8048206787211623,0.52,0.04,0.34
YJR109C,1118,3.0484418035504044,0.34,0.02,0.24
YGL187C,155,2.1903316981702914,0.44,0.14,0.3
YLR395C,78,1.8920946026904804,0.4,0.24,0.22
YDL140C,1733,3.238798562713917,0.44,0.14,0.28
YOR116C,1460,3.164352855784437,0.46,0.16,0.36
YER165W,577,2.7611758131557314,0.32,0.04,0.28
YPL248C,881,2.944975908412048,0.3,0.28,0.2
YGL031C,155,2.1903316981702914,0.38,0.24,0.22
YOL127W,142,2.1522883443830567,0.48,0.28,0.38
YMR056C,309,2.4899584794248346,0.42,0.12,0.28
YOL006C,769,2.885926339801431,0.34,0.12,0.26
YLL018C,557,2.745855195173729,0.32,0.24,0.26
YEL063C,590,2.7708520116421442,0.28,0.22,0.18
YDL164C,755,2.8779469516291885,0.46,0.2,0.28
YLR310C,1589,3.2011238972073794,0.22,0.02,0.14
YNL055C,283,2.45178643552429,0.44,0.14,0.28
YDR225W,132,2.12057393120585,0.36,0.22,0.28
YBL003C,132,2.12057393120585,0.36,0.22,0.28
