uniprot_id,gene_id,gene_name,length,location,original_locations
A0A0B7P3V8,YPL060C-A,TY4B-P,1104,Nucleus,Cytoplasm; Nucleus
D6VTK4,YFL026W,STE2,431,Membrane_Secretory,Cell membrane
O13297,YPL228W,CET1,549,Nucleus,Nucleus
O13329,YDR110W,FOB1,566,Nucleus,"Nucleus, nucleolus"
O13516,YPL081W,RPS9A,197,Nucleus,"Cytoplasm; Nucleus, nucleolus"
O13525,YDR204W,COQ4,335,Mitochondria,Mitochondrion inner membrane
O13527,YAR009C,TY1B-A,1196,Nucleus,Cytoplasm; Nucleus
O13535,YHR214C-B,TY1B-H,1793,Nucleus,Cytoplasm; Nucleus
O13539,YHR167W,THP2,261,Nucleus,Nucleus
O13547,YLR390W-A,CCW14,238,Membrane_Secretory,"Secreted, cell wall; Membrane"
O13563,YLR421C,RPN13,156,Nucleus,Cytoplasm; Nucleus
O14455,YPL249C-A,RPL36B,100,Cytoplasm,Cytoplasm
O14467,YOR298C-A,MBF1,151,Nucleus,Cytoplasm; Nucleus
O60200,YKL053C-A,MDM35,86,Nucleus,Cytoplasm; Nucleus; Mitochondrion intermembrane space
O74700,YEL020W-A,TIM9,87,Mitochondria,Mitochondrion inner membrane; Mitochondrion intermembrane space
O75012,YDL045W-A,MRP10,95,Mitochondria,Mitochondrion; Mitochondrion matrix
P00044,YJR048W,CYC1,109,Mitochondria,Mitochondrion intermembrane space
P00127,YFR033C,QCR6,147,Mitochondria,Mitochondrion inner membrane
P00128,YDR529C,QCR7,127,Mitochondria,Mitochondrion inner membrane
P00163,Q0105,COB,385,Mitochondria,Mitochondrion inner membrane
P00175,YML054C,CYB2,591,Mitochondria,Mitochondrion intermembrane space
P00330,YOL086C,ADH1,348,Cytoplasm,Cytoplasm
P00331,YMR303C,ADH2,348,Cytoplasm,Cytoplasm
P00358,YJR009C,TDH2,332,Cytoplasm,Cytoplasm
P00359,YGR192C,TDH3,332,Mitochondria,Cytoplasm; Mitochondrion
P00360,YJL052W,TDH1,332,Cytoplasm,Cytoplasm
P00401,Q0045,COX1,534,Mitochondria,Mitochondrion inner membrane
P00410,Q0250,COX2,251,Mitochondria,Mitochondrion inner membrane
P00420,Q0275,COX3,269,Mitochondria,Mitochondrion inner membrane
P00424,YNL052W,COX5A,153,Mitochondria,Mitochondrion inner membrane
P00431,YKR066C,CCP1,361,Mitochondria,Mitochondrion matrix; Mitochondrion intermembrane space
P00445,YJR104C,SOD1,154,Mitochondria,Cytoplasm; Mitochondrion intermembrane space
P00560,YCR012W,PGK1,416,Mitochondria,Cytoplasm; Mitochondrion
P00635,YBR093C,PHO5,467,Membrane_Secretory,Secreted
P00724,YIL162W,SUC2,532,Membrane_Secretory,Secreted
P00729,YMR297W,PRC1,532,Other,Vacuole lumen
P00817,YBR011C,IPP1,287,Cytoplasm,Cytoplasm
