gene_id,location,location_encoded,split
YPL060C-A,Nucleus,3,test
YFL026W,Membrane_Secretory,1,test
YPL228W,Nucleus,3,train
YDR110W,Nucleus,3,train
YPL081W,Nucleus,3,train
YDR204W,Mitochondria,2,train
YAR009C,Nucleus,3,train
YHR214C-B,Nucleus,3,train
YHR167W,Nucleus,3,test
YLR390W-A,Membrane_Secretory,1,train
YLR421C,Nucleus,3,train
YPL249C-A,Cytoplasm,0,train
YOR298C-A,Nucleus,3,train
YKL053C-A,Nucleus,3,train
YEL020W-A,Mitochondria,2,train
YDL045W-A,Mitochondria,2,train
YJR048W,Mitochondria,2,train
YFR033C,Mitochondria,2,train
YDR529C,Mitochondria,2,train
Q0105,Mitochondria,2,test
YML054C,Mitochondria,2,train
YOL086C,Cytoplasm,0,test
YMR303C,Cytoplasm,0,train
YJR009C,Cytoplasm,0,train
YGR192C,Mitochondria,2,train
YJL052W,Cytoplasm,0,test
Q0045,Mitochondria,2,train
Q0250,Mitochondria,2,train
Q0275,Mitochondria,2,test
YNL052W,Mitochondria,2,test
YKR066C,Mitochondria,2,train
YJR104C,Mitochondria,2,train
YCR012W,Mitochondria,2,train
YBR093C,Membrane_Secretory,1,train
YIL162W,Membrane_Secretory,1,test
YMR297W,Other,4,train
YBR011C,Cytoplasm,0,train
YJR121W,Mitochondria,2,train
Q0085,Mitochondria,2,train
YNR001C,Mitochondria,2,train
YGR254W,Cytoplasm,0,train
YHR174W,Cytoplasm,0,train
YER086W,Mitochondria,2,train
YKL152C,Mitochondria,2,train
YGR264C,Cytoplasm,0,train
YDL181W,Mitochondria,2,train
YOR101W,Membrane_Secretory,1,test
YNL098C,Membrane_Secretory,1,test
YFL038C,Membrane_Secretory,1,train
YDR224C,Nucleus,3,train
YBL002W,Nucleus,3,train
YNL030W,Nucleus,3,train
YDR382W,Cytoplasm,0,train
YGL103W,Cytoplasm,0,train
YFL037W,Cytoplasm,0,train
YPL240C,Cytoplasm,0,train
YOR187W,Mitochondria,2,train
YBR118W,Cytoplasm,0,test
YEL009C,Nucleus,3,train
R0020C,Nucleus,3,train
Q0110,Mitochondria,2,train
Q0060,Mitochondria,2,test
Q0065,Mitochondria,2,train
Q0120,Mitochondria,2,train
YJR109C,Cytoplasm,0,test
YGL187C,Mitochondria,2,train
