,kmer_A,kmer_C,kmer_D,kmer_E,kmer_F,kmer_G,kmer_H,kmer_I,kmer_K,kmer_L,kmer_M,kmer_N,kmer_P,kmer_Q,kmer_R,kmer_S,kmer_T,kmer_V,kmer_W,kmer_Y
YPL060C-A,0.04,0.0,0.08,0.09,0.01,0.02,0.0,0.08,0.11,0.09,0.02,0.07,0.02,0.06,0.08,0.06,0.08,0.08,0.0,0.01
YFL026W,0.07,0.01,0.03,0.01,0.06,0.06,0.01,0.1,0.02,0.1,0.04,0.06,0.04,0.04,0.03,0.11,0.1,0.05,0.01,0.05
YPL228W,0.07,0.0,0.11,0.1,0.01,0.06,0.03,0.02,0.08,0.06,0.02,0.08,0.05,0.05,0.03,0.12,0.07,0.02,0.0,0.02
YDR110W,0.01,0.0,0.07,0.11,0.02,0.03,0.0,0.04,0.07,0.13,0.02,0.02,0.05,0.03,0.09,0.13,0.09,0.04,0.0,0.05
YPL081W,0.07,0.0,0.06,0.07,0.03,0.04,0.0,0.04,0.13,0.14,0.01,0.02,0.05,0.01,0.13,0.07,0.04,0.04,0.0,0.05
YDR204W,0.12,0.01,0.02,0.09,0.02,0.05,0.03,0.03,0.05,0.17,0.04,0.04,0.05,0.01,0.12,0.03,0.05,0.03,0.0,0.04
YAR009C,0.02,0.04,0.04,0.03,0.04,0.03,0.05,0.11,0.07,0.07,0.04,0.04,0.05,0.05,0.05,0.11,0.06,0.03,0.01,0.06
YHR214C-B,0.1,0.02,0.03,0.04,0.0,0.03,0.05,0.02,0.04,0.03,0.03,0.07,0.12,0.12,0.0,0.15,0.07,0.05,0.0,0.03
YHR167W,0.04,0.01,0.08,0.11,0.01,0.03,0.02,0.05,0.06,0.16,0.01,0.03,0.03,0.06,0.07,0.1,0.07,0.03,0.0,0.03
YLR390W-A,0.13,0.08,0.05,0.04,0.01,0.02,0.01,0.01,0.05,0.11,0.01,0.05,0.03,0.03,0.01,0.22,0.05,0.07,0.0,0.02
YLR421C,0.02,0.02,0.03,0.13,0.07,0.06,0.0,0.09,0.05,0.06,0.03,0.03,0.08,0.01,0.06,0.1,0.04,0.06,0.04,0.02
YPL249C-A,0.12,0.0,0.01,0.05,0.02,0.07,0.01,0.08,0.14,0.06,0.03,0.05,0.03,0.01,0.12,0.07,0.05,0.06,0.0,0.02
YOR298C-A,0.09,0.0,0.09,0.02,0.0,0.1,0.0,0.05,0.09,0.04,0.02,0.06,0.03,0.05,0.12,0.08,0.07,0.07,0.01,0.01
YKL053C-A,0.09302325581395349,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.046511627906976744,0.05813953488372093,0.0,0.023255813953488372,0.12790697674418605,0.05813953488372093,0.023255813953488372,0.05813953488372093,0.03488372093023256,0.023255813953488372,0.011627906976744186,0.06976744186046512,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.046511627906976744
YEL020W-A,0.034482758620689655,0.04597701149425287,0.04597701149425287,0.09195402298850575,0.06896551724137931,0.04597701149425287,0.011494252873563218,0.011494252873563218,0.10344827586206896,0.08045977011494253,0.04597701149425287,0.05747126436781609,0.0,0.11494252873563218,0.05747126436781609,0.05747126436781609,0.05747126436781609,0.05747126436781609,0.0,0.011494252873563218
YDL045W-A,0.05263157894736842,0.042105263157894736,0.021052631578947368,0.031578947368421054,0.0,0.05263157894736842,0.031578947368421054,0.042105263157894736,0.10526315789473684,0.11578947368421053,0.031578947368421054,0.07368421052631578,0.08421052631578947,0.031578947368421054,0.06315789473684211,0.09473684210526316,0.021052631578947368,0.05263157894736842,0.010526315789473684,0.042105263157894736
YJR048W,0.06,0.02,0.04,0.06,0.04,0.12,0.04,0.03,0.14,0.07,0.03,0.07,0.04,0.02,0.03,0.04,0.07,0.03,0.01,0.04
