gene_id,D_1_count,D_2_count,D_3_count,G_1_count,G_2_count,G_3_count,D_1_fpkm,D_2_fpkm,D_3_fpkm,G_1_fpkm,G_2_fpkm,G_3_fpkm,DvsG_D,DvsG_G,DvsG_log2FoldChange,DvsG_pvalue,DvsG_padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,Family
YKL060C,166068,212269,220495,92967,87283,103899,11964.85237,13984.15729,15846.09164,3943.20266,4250.213863,4121.537869,252610.0751,74204.38964,1.767338947,2.77E-51,2.23E-50,FBA1,XI,326408,327487,-,1080,protein_coding,- && sp|P14540|ALF_YEAST Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FBA1 PE=1 SV=3 && PF01116:Fructose-bisphosphate aldolase class-II,-
YGR192C,147006,186609,194300,73325,70247,80632,11450.24336,13290.47734,15095.74271,3362.254785,3698.00222,3457.909528,222714.7333,58627.72423,1.92554865,5.06E-60,4.98E-59,TDH3,VII,882812,883810,-,999,protein_coding,"- && sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3 && PF00044:Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain|PF02800:Glyceraldehyde 3-phos",-
YDR077W,27150,31641,33716,333608,275307,416374,2077.275149,2213.618265,2573.133181,15026.55899,14236.43256,17540.19156,39067.51669,265469.2567,-2.76451051,7.72E-119,2.15E-117,SED1,IV,600793,601809,+,1017,protein_coding,- && sp|Q01589|SED1_YEAST Cell wall protein SED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SED1 PE=1 SV=1 && -,-
YHR174W,152282,188193,187866,22650,20640,23443,9017.753327,10190.17358,11096.85717,789.6177057,826.0744725,764.3451333,222846.1521,17448.54035,3.674894838,2.03E-252,2.56E-250,ENO2,VIII,451327,452640,+,1314,protein_coding,"- && sp|P00925|ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2 && PF03952:Enolase, N-terminal domain|PF00113:Enolase, C-terminal TIM barrel domain",-
YLR286C,20159,22826,24390,307052,269927,314955,928.7193193,961.5539255,1120.8031,8327.723897,8404.687152,7988.965397,28462.36297,232945.936,-3.032876349,1.13E-178,6.91E-177,CTS1,XII,708448,710136,-,1689,protein_coding,- && sp|P29029|CHIT_YEAST Endochitinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CTS1 PE=1 SV=2 && PF03427:Carbohydrate binding domain (family 19)|PF00704:Glycosyl hydrolases family 18,-
YLR044C,71816,93795,82146,84360,73152,102100,3302.67621,3944.144438,3768.193838,2283.916643,2273.687215,2585.217373,104293.1597,67412.68948,0.629549488,7.14E-09,1.53E-08,PDC1,XII,232390,234081,-,1692,protein_coding,"- && sp|P06169|PDC1_YEAST Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7 && PF02776:Thiamine pyrophosphate enzyme, N-terminal TPP binding domain|PF00205:Thiamine pyrophosphate enzyme, ",-
YOL086C,137856,162777,137444,47407,42311,54584,10245.28717,11061.64815,10188.876,2074.148413,2125.257131,2233.52264,184534.2011,37572.70352,2.296129188,1.58E-127,5.25E-126,ADH1,XV,159548,160594,-,1047,protein_coding,- && sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5 && PF08240:Alcohol dehydrogenase GroES-like domain|PF00107:Zinc-binding dehydrogenase,-
YLR249W,82656,97159,98813,67239,49579,68285,2051.549424,2205.052697,2446.378845,982.4890925,831.6969172,933.1671691,117601.5023,48035.56689,1.291717904,8.49E-32,4.17E-31,YEF3,XII,636780,639914,+,3135,protein_coding,- && sp|P16521|EF3A_YEAST Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4 && PF00005:ABC transporter|PF17947:Four helical bundle domain,-
YBR118W,106887,119412,115474,73567,59661,73929,6039.988229,6170.033384,6508.74778,2447.333432,2278.56521,2300.131014,144250.2414,53968.07438,1.418392674,1.07E-50,8.51E-50,TEF2,II,477671,479047,+,1377,protein_coding,- && sp|P02994|EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1 && PF00009:Elongation factor Tu GTP binding domain|PF03143:Elongation factor Tu C-terminal domain|PF03144:Elongation f,-
YLR110C,71163,89875,93155,105571,85964,106348,13774.42059,15906.92862,17985.69771,12029.91667,11245.93157,11333.78464,107237.5214,77610.14192,0.466491838,4.77E-05,8.19E-05,CCW12,XII,369697,370098,-,402,protein_coding,- && sp|Q12127|CCW12_YEAST Covalently-linked cell wall protein 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW12 PE=1 SV=1 && PF13928:Flocculin type 3 repeat,-
