,kmer_A,kmer_C,kmer_D,kmer_E,kmer_F,kmer_G,kmer_H,kmer_I,kmer_K,kmer_L,kmer_M,kmer_N,kmer_P,kmer_Q,kmer_R,kmer_S,kmer_T,kmer_V,kmer_W,kmer_Y
YPL060C-A,0.025,0.01,0.065,0.085,0.015,0.035,0.015,0.11,0.11,0.065,0.015,0.08,0.03,0.05,0.07,0.08,0.075,0.055,0.0,0.01
YFL026W,0.07,0.005,0.065,0.055,0.05,0.04,0.01,0.065,0.045,0.075,0.025,0.065,0.05,0.03,0.05,0.1,0.1,0.04,0.01,0.05
YPL228W,0.05,0.005,0.08,0.095,0.02,0.04,0.03,0.06,0.075,0.065,0.015,0.09,0.035,0.035,0.05,0.12,0.08,0.03,0.0,0.025
YDR110W,0.02,0.0,0.075,0.13,0.02,0.055,0.005,0.03,0.06,0.085,0.02,0.025,0.065,0.06,0.065,0.115,0.095,0.04,0.0,0.035
YPL081W,0.1065989847715736,0.0,0.06091370558375635,0.08121827411167512,0.03553299492385787,0.050761421319796954,0.02030456852791878,0.04568527918781726,0.09137055837563451,0.10152284263959391,0.01015228426395939,0.02030456852791878,0.04568527918781726,0.025380710659898477,0.116751269035533,0.06091370558375635,0.03553299492385787,0.06091370558375635,0.0,0.030456852791878174
YDR204W,0.105,0.01,0.025,0.075,0.01,0.045,0.015,0.045,0.08,0.16,0.035,0.04,0.06,0.015,0.11,0.025,0.055,0.04,0.01,0.04
YAR009C,0.02,0.02,0.035,0.045,0.04,0.03,0.03,0.11,0.095,0.095,0.03,0.065,0.045,0.03,0.05,0.095,0.07,0.035,0.01,0.05
YHR214C-B,0.06,0.015,0.03,0.05,0.02,0.03,0.045,0.06,0.08,0.075,0.025,0.08,0.08,0.065,0.02,0.115,0.075,0.05,0.005,0.02
YHR167W,0.05,0.005,0.095,0.1,0.015,0.035,0.02,0.065,0.09,0.125,0.03,0.035,0.03,0.045,0.055,0.085,0.05,0.03,0.01,0.03
YLR390W-A,0.14,0.04,0.025,0.055,0.015,0.025,0.01,0.02,0.045,0.07,0.01,0.03,0.03,0.025,0.005,0.3,0.07,0.07,0.0,0.015
YLR421C,0.02564102564102564,0.01282051282051282,0.057692307692307696,0.1346153846153846,0.04487179487179487,0.05128205128205128,0.0,0.07051282051282051,0.07051282051282051,0.07051282051282051,0.03205128205128205,0.0641025641025641,0.057692307692307696,0.03205128205128205,0.038461538461538464,0.10897435897435898,0.02564102564102564,0.057692307692307696,0.02564102564102564,0.019230769230769232
YPL249C-A,0.12,0.0,0.01,0.05,0.02,0.07,0.01,0.08,0.14,0.06,0.03,0.05,0.03,0.01,0.12,0.07,0.05,0.06,0.0,0.02
