# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-p" "-a" "genes.gtf" "-o" "ns024.12.counts.txt" "./bam/A1.bam" "./bam/A2.bam" "./bam/B1.bam" "./bam/B2.bam" 
Geneid	Chr	Start	End	Strand	Length	./bam/A1.bam	./bam/A2.bam	./bam/B1.bam	./bam/B2.bam
YAL069W	I	335	649	+	315	0	0	0	0
YAL068W-A	I	538	792	+	255	0	0	0	0
YAL068C	I	1807	2169	-	363	3	4	3	1
YAL067W-A	I	2480	2707	+	228	1	2	1	0
YAL067C	I	7235	9016	-	1782	161	85	176	222
YAL066W	I	10091	10399	+	309	3	6	2	8
YAL065C	I	11565	11951	-	387	11	9	18	30
YAL064W-B	I	12046	12426	+	381	16	22	58	73
YAL064C-A	I	13363	13743	-	381	152	158	146	256
YAL064W	I	21566	21850	+	285	10	6	6	16
YAL063C-A	I	22395	22685	-	291	53	61	64	96
YAL063C	I	24000	27968	-	3969	410	324	475	613
YAL062W	I	31567	32940	+	1374	280	328	349	666
YAL061W	I	33448	34701	+	1254	565	527	609	1090
YAL060W	I	35155	36303	+	1149	3344	2225	3427	4306
YAL059C-A	I	36496	36918	-	423	0	0	0	0
YAL059W	I	36509	37147	+	639	617	386	777	694
YAL058W	I	37464	38972	+	1509	526	545	627	963
YAL056C-A	I	38696	39046	-	351	9	0	5	15
YAL056W	I	39259	41901	+	2643	1606	1326	2034	2737
YAL055W	I	42177	42719	+	543	308	276	308	516
YAL054C	I	42881	45022	-	2142	209	273	276	525
YAL053W	I	45899	48250	+	2352	1702	2053	2228	4050
YAL051W	I	48564	51707	+	3144	908	834	1087	1598
YAL049C	I	51855	52595	-	741	1171	1302	1293	2557
YAL048C	I	52801	54789	-	1989	430	382	471	854
YAL047W-A	I	54584	54913	+	330	1	1	1	1
YAL047C	I	54989	56857	-	1869	419	353	524	697
YAL046C	I	57029	57385	-	357	466	371	523	888
YAL045C	I	57488	57796	-	309	10	1	0	3
YAL044W-A	I	57518	57850	+	333	58	53	60	98
YAL044C	I	57950	58462	-	513	1814	1449	2101	3210
YAL043C	I	58695	61052	-	2358	1429	1373	1955	2957
YAL042C-A	I	61231	61608	-	378	1	0	1	0
YAL042W	I	61316	62563	+	1248	3754	3423	4502	6778
YAL041W	I	62840	65404	+	2565	1489	1309	1845	2650
YAL040C	I	65778	67520	-	1743	2760	2523	3169	4651
YAL039C	I	68716	69525	-	810	1468	1487	1500	3344
YAL038W	I	71786	73288	+	1503	52501	41800	72658	86843
YAL037C-B	I	72326	73300	-	975	1709	1178	2012	2486
YAL037C-A	I	73426	73518	-	93	186	101	232	235
YAL037W	I	74020	74823	+	804	141	129	134	196
YAL036C	I	75043	76152	-	1110	4139	3011	5252	5442
YAL035W	I	76427	79435	+	3009	22834	17651	26257	30834
YAL034C-B	I	79489	79842	-	354	1	3	2	14
YAL034W-A	I	79718	80587	+	870	309	271	350	449
YAL034C	I	80710	81951	-	1242	437	448	528	871
YAL033W	I	82706	83227	+	522	340	295	462	603
YAL032C	I	83335	84474	-	1140	525	530	643	958
YAL031W-A	I	84669	84977	+	309	7	11	7	5
YAL031C	I	84749	87031	-	2283	619	617	735	1197
YAL030W	I;I	87286;87501	87387;87752	+;+	354	449	573	600	1220
YAL029C	I	87855	92270	-	4416	2948	2994	3836	5693
YAL028W	I	92900	94486	+	1587	178	177	135	325
YAL027W	I	94687	95472	+	786	320	291	296	551
YAL026C-A	I	95386	95823	-	438	11	6	7	5
YAL026C	I	95630	99697	-	4068	1440	1422	1825	2608
HRA1	I	99305	99868	+	564	0	4	2	2
YAL025C	I	100225	101145	-	921	5774	3475	6561	6256
YAL024C	I	101565	105872	-	4308	955	816	1182	1572
YAL023C	I	106272	108551	-	2280	7182	5948	9638	11999
YAL022C	I	108877	110430	-	1554	1112	1046	1356	2203
YAL021C	I	110846	113359	-	2514	2009	1715	2438	3372
YAL020C	I	113614	114615	-	1002	536	403	518	787
YAL019W-A	I	114250	114819	+	570	2	0	2	3
YAL019W	I	114919	118314	+	3396	2776	2102	3338	3960
YAL018C	I	118564	119541	-	978	20	12	18	36
YAL017W	I	120225	124295	+	4071	1150	1566	1367	3096
YAL016C-B	I	124307	124492	-	186	7	12	14	31
YAL016C-A	I	124755	125069	-	315	6	11	3	18
YAL016W	I	124879	126786	+	1908	2814	2803	3494	5342
YAL015C	I	126903	128102	-	1200	774	788	906	1515
YAL014C	I	128252	129019	-	768	834	736	953	1517
YAL013W	I	129270	130487	+	1218	1606	1295	1749	2353
YAL012W	I	130799	131983	+	1185	12557	10349	15117	21848
YAL011W	I	132199	134076	+	1878	1141	855	1154	1530
YAL010C	I	134184	135665	-	1482	395	524	565	856
YAL009W	I	135854	136633	+	780	511	492	616	856
YAL008W	I	136914	137510	+	597	429	585	526	1311
YAL007C	I	137698	138345	-	648	2557	2201	2901	4041
tP(UGG)A	I;I	139152;139219	139187;139254	+;+	72	2	4	0	7
YAL005C	I	139503	141431	-	1929	8243	29018	9515	53887
YAL004W	I	140760	141407	+	648	0	0	0	0
YAL003W	I;I	142174;142620	142253;143160	+;+	621	50297	37622	65271	78200
snR18	I	142367	142468	+	102	218	116	249	200
